tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882862961210966000,171123,540,638,1,3855,0
882862954273587000,1796,1,544,0,7933,0
882862951899595000,82,12,97,0,7141,0
882862949173527000,36644078,126790,1121,1,1466,26
882862949043491000,6871070,34179,368,1,137,5
882862948833796000,880,67,212,0,10514,0
882862935139377000,1219,37,446,0,14785,1
882862922065642000,258,15,482,0,31157,0
882862920404685000,5905,108,1263,0,40781,0
882862920136360000,342,2,137,0,41304,0
882862916877263000,90,3,95,0,4609,0
882862904147665000,97,0,188,0,5614,0
882862903321399000,1557,1,1474,0,16608,0
882862903279448000,258,15,482,0,31157,0
882862901266190000,2729,58,142,0,31426,0
882862894567883000,1868,82,840,0,29026,0
882862890784633000,94,0,275,0,1610,0
882862886703464000,1406,30,239,0,203,0
882862882836419000,49,0,154,0,1775,0
882862882807050000,37,0,149,0,118,0
882862878017167000,1557,1,1474,0,16608,0
882862874481353000,1,0,0,0,0,0
882862874074415000,1,0,0,0,0,0
882862871360577000,2391,18,30,0,1195,0
882862864947585000,11292,69,1726,0,14399,0
882862864029155000,754,48,288,0,40061,0
882862856743645000,13313,179,688,0,12941,0
882862852356231000,260,2,243,0,20810,0
882862850917548000,118,0,341,0,5204,0
882862844420797000,40907,285,2471,0,539417,1
882862841480401000,637,34,831,0,850,0
882862840373236000,9281,21,8552,0,8323,0
882862840138396000,98259,870,2319,0,925,0
882862840134066000,2021,52,900,0,81,0
882862838200533000,2688,269,107,0,15579,0
882862837663621000,2745,88,220,0,3809,1
882862834962620000,258,15,482,0,31157,0
882862833649807000,200,20,236,0,34552,0
882862830910816000,289,11,608,0,22385,0
882862823889678000,2688,269,107,0,15579,0
882862822673265000,978,9,153,0,711,0
882862818688729000,826,456,231,0,148001,0
882862816675365000,51,3,0,0,0,0
882862816259998000,126,11,215,0,4059,0
882862800837542000,83,0,282,0,423,0
882862795477352000,58182,218,26737,0,168351,0
882862789664100000,140,6,1149,0,10960,0
882862785419395000,108,2,29,0,605,0
882862785163645000,1094,58,2047,0,1577,0
882862783288758000,814,0,659,0,2392,0
882862783263527000,2702,32,863,0,2173,0
882862776091255000,506,58,321,0,11647,0
882862775562899000,172,0,1099,0,326,0
882862774589600000,227,6,570,0,134,0
882862774573048000,1051,43,505,0,1244,0
882862771737637000,200,20,236,0,34552,0
882862770122785000,826,456,231,0,148001,0
882862766708597000,176,32,132,0,16472,0
882862766519984000,85,0,515,0,1099,0
882862763235840000,3458,33,2672,0,63872,0
882862758034682000,50,16,131,0,938,0
882862747079254000,127,0,1320,0,2618,0
882862741555356000,22,6,35,0,97,0
882862740183933000,13,1,60,0,26,0
882862724207829000,1294,63,921,0,13591,0
882862722664219000,5531,202,654,1,1975,0
882862712056824000,26016,70,1009,0,107,0
882862709091426000,416,18,173,0,41596,0
882862700723806000,100,0,758,0,19508,0
882862699742286000,255,6,246,0,243,0
882862699595448000,1796,1,544,0,7933,0
882862695762076000,411,0,384,0,540,0
882862695497650000,289,11,608,0,22385,0
882862693945758000,17,0,119,0,782,0
882862690124911000,25,1,60,0,4721,0
882862689650913000,168,2,202,0,12272,0
882862686983336000,50,0,66,0,441,0
882862683137167000,3121,119,4594,0,75441,0
882862682176488000,4514,246,2238,0,44034,0
882862682101207000,1557,1,1474,0,16608,0
882862681883001000,322,30,478,0,21447,0
882862674920432000,28,1,89,0,612,1
882862666947060000,246,27,163,0,34761,0
882862662903902000,55,1,255,0,4865,0
882862661825954000,3394,8,658,0,4322,0
882862661817352000,54,0,550,0,1059,0
882862656281076000,0,0,37,0,2,0
882862653647061000,321,21,722,0,1520,0
882862650811494000,83,0,310,0,1968,0
882862648840344000,2729,58,142,0,31426,0
882862642624315000,5,0,166,0,747,0
882862641735246000,89,2,800,0,153,0
882862636139938000,1290,27,199,0,695,0
882862636102058000,1743,52,2624,0,59572,0
882862632679690000,411,0,384,0,540,0
882862617747898000,4,0,43,0,7,0
882862617089331000,21775,34,3989,0,8848,1
882862610818843000,19,0,254,0,828,0
882862610600866000,259,21,76,0,26404,1
882862608256295000,2688,269,107,0,15579,0
882862589172175000,13,1,60,0,26,0
882862588706529000,757,24,115,0,27638,0
882862584289829000,1796,1,544,0,7933,0
882862583711240000,52,1,61,0,1903,0
882862583090471000,2610,71,37,0,35596,0
882862574445806000,243,2,260,0,4848,0
882862568687022000,1360,29,822,0,787,0
882862556901241000,666,2,231,0,12461,2
882862552606233000,1369,34,217,0,90,0
882862546654560000,354,0,1879,0,111,0
882862546444665000,406,39,235,0,25418,0
882862541977731000,109,11,139,0,5775,0
882862541092868000,1557,1,1474,0,16608,0
882862539033399000,128,17,202,0,9860,0
882862528891670000,6,0,85,0,4,0
882862527821959000,6297,228,3161,0,9236,0
882862519743910000,894,85,227,0,283066,0
882862518326243000,826,456,231,0,148001,0
882862514987512000,200,20,236,0,34552,0
882862514773647000,3925,12,4994,0,1493,0
882862513909629000,328,22,222,0,48822,0
882862511795577000,208,47,222,0,713,0
882862510386405000,485,186,610,0,49651,0
882862509174084000,17,0,29,0,84,0
882862499485278000,405,43,871,0,157583,0
882862496692019000,31,3,241,0,75,0
882862496360616000,5051,2,5417,0,10454,0
882862496209551000,131,2,216,0,710,1
882862495081177000,3155,102,205,0,65694,0
882862491973407000,125,35,541,0,4865,0
882862487003124000,55,1,255,0,4865,0
882862486369837000,244,1,500,0,90,0
882862483290997000,6297,228,3161,0,9236,0
882862478442594000,5,0,44,0,176,0
882862470741639000,19410,82,1090,0,21989,0
882862469546377000,2264,64,173,0,741,0
882862467164058000,214,0,25,0,45695,0
882862464118931000,338,42,350,0,10177,0
882862462365782000,243,77,65,0,37091,0
882862458905416000,416,18,173,0,41596,0
882862455344562000,363,30,511,0,552,0
882862453679423000,485,186,610,0,49651,0
882862449170502000,273,5,54,0,4,0
882862441729630000,4514,246,2238,0,44034,0
882862440790147000,860,15,551,0,1964,0
882862435639734000,2264,64,173,0,741,0
882862430535037000,289,11,608,0,22385,0
882862429411181000,4923,59,894,0,9263,0
882862422570090000,2831,15,2314,0,33493,0
882862422146535000,115,16,207,0,2803,0
882862409886556000,379,20,190,0,6704,0
882862409374986000,258,15,482,0,31157,0
882862408292852000,363,30,511,0,552,0
882862396003426000,86,1,558,0,1734,0
882862395319886000,321,21,722,0,1520,0
882862381159915000,253,3,192,0,1055,0
882862378362319000,259,21,76,0,26404,1
882862375740650000,128,17,202,0,9860,0
882862375061279000,13313,179,688,0,12941,0
882862361266225000,1657,4,199,0,4091,0
882862358023987000,327,10,186,0,502,0
882862354785985000,141,3,346,0,4674,0
882862353649254000,1775,16,631,0,17661,0
882862351497667000,526,10,797,0,1975,0
882862350239502000,23592,177,21,0,3705,0
882862346707903000,1124,54,642,0,8191,0
882862346150048000,10,0,59,0,145,0
882862342177935000,588,1,48,0,16,0
882862336016601000,25602,214,433,0,89767,0
882862333424411000,534,53,918,0,6762,0
882862328210915000,1657,4,199,0,4091,0
882862327678349000,328,22,222,0,48822,0
882862326428254000,80,2,300,0,165,0
882862326377927000,45,0,196,0,4029,0
882862314105573000,363,30,511,0,552,0
882862306186502000,664,43,70,0,2274,0
882862298057949000,4514,246,2238,0,44034,1
882862296472670000,200,20,236,0,34552,0
882862294056751000,16,0,3,0,2801,0
882862286188237000,328,22,222,0,48822,0
882862285198430000,1657,4,199,0,4091,0
882862283692659000,826,456,231,0,148001,0
882862263513887000,238,16,1022,0,14481,0
882862262947504000,2104,4,427,0,194,0
882862262339355000,3782,11,16,0,4,1
882862256844808000,51,0,475,0,1169,0
882862252109574000,1657,4,199,0,4091,0
882862249970291000,66,5,107,0,693,0
882862247826960000,19,0,254,0,828,0
882862245364904000,3155,102,205,0,65694,0
882862243985142000,765,82,682,0,2054,0
882862240130531000,1969,870,995,0,1393,0
882862237458743000,757,24,115,0,27638,0
882862235155968000,5314,64,2732,0,2451,0
882862231649694000,25,0,78,0,267,0
882862229829431000,1657,4,199,0,4091,0
882862218978542000,54,0,550,0,1059,0
882862217137226000,39,0,66,0,13541,0
882862212422959000,30231,273,460,0,4458,0
882862212351656000,54,4,406,0,3875,0
882862196660740000,814,0,659,0,2392,0
882862189522047000,5905,77,1057,0,19328,0
882862184619024000,667,0,545,0,1148,0
882862183851278000,1514,90,491,0,77759,0
882862183373169000,3155,102,205,0,65694,0
882862166344294000,416,18,173,0,41596,0
882862155833504000,1657,4,199,0,4091,0
882862153488671000,39,0,66,0,13541,0
882862152339423000,107,2,294,0,1669,0
882862141375746000,18925,222,3584,0,39225,1
882862137877569000,6297,228,3161,0,9236,0
882862136850035000,1520,2,80,0,19139,0
882862131460190000,129,0,378,0,7838,0
882862129677713000,393,7,517,0,3786,0
882862127089729000,683,325,412,0,788,0
882862114200629000,1133,31,109,0,526,1
882862101743751000,20096,28,71,0,31378,0
882862097381692000,198,1,531,0,79,0
882862097167548000,2174,124,1169,0,12031,1
882862097138295000,712,35,1039,0,31553,0
882862096140186000,1657,4,199,0,4091,0
882862095879914000,158,6,61,0,2,0
882862089491972000,23,0,437,0,78,0
882862088326062000,5163,24,42,0,1650,0
882862086078050000,1279,19,657,0,8111,0
882862085809427000,39,0,66,0,13541,0
882862085000004000,22152,97,6636,0,11630,2
882862082697216000,70,3,115,0,303,0
882862074946138000,292,15,383,0,17333,0
882862074627490000,341,7,97,0,9685,0
882862073717203000,338,42,350,0,10177,0
882862068818301000,75,0,74,0,18779,0
882862068247937000,60,2,125,0,364,0
882862064942936000,3,0,259,0,247,0
882862062774268000,393,7,517,0,3786,0
882862059980964000,407,1,43,0,2990,0
882862055006646000,3,0,162,0,157,0
882862052204663000,407,1,43,0,2990,0
882862048937353000,10,0,31,0,256,0
882862048505348000,104,1,60,0,76,0
882862048459227000,3,0,8,0,27,0
882862045019881000,19,0,254,0,828,0
882862038761984000,700,16,2159,0,14177,0
882862037554037000,1,1,9,0,0,0
882862036522226000,393,7,517,0,3786,0
882862036392173000,6362,21,104,0,828,0
882862026770584000,44,0,304,0,500,0
882862025465938000,588,1,48,0,16,0
882862024077623000,646,5,2328,0,933,0
882862018004488000,8,1,1184,0,0,0
882861995908882000,0,0,0,0,1,0
882861991555088000,378,54,123,0,2586,0
882861990330352000,321,79,10,0,37055,0
882861987755168000,0,0,13,0,64,0
882861976036225000,3,0,259,0,247,0
882861972672266000,514,220,317,0,27011,0
882861972433261000,108,3,186,0,208,0
882861969715347000,11,0,57,0,3,0
882861966124962000,932,8,903,0,67132,0
882861957551804000,557,103,491,0,3693,0
882861954439709000,264,0,714,0,2667,0
882861942594994000,183,8,247,0,23345,0
882861931731624000,667,53,1142,0,28608,0
882861930733380000,168,20,605,0,5541,0
882861927583502000,667,53,1142,0,28608,0
882861925792600000,1279,40,442,0,40094,0
882861903697113000,1436,69,836,0,11157,0
882861899016135000,5905,77,1057,0,19328,0
882861898483589000,826,456,231,0,148002,0
882861889537159000,8032,20,2180,0,26614,0
882861879235932000,630,12,127,0,700,0
882861876648042000,16675,286,1544,0,55457,0
882861871501419000,73,6,55,0,702,0
882861868431405000,10,0,28,0,0,0
882861864455221000,9947,5,8277,0,2726,0
882861860755833000,2729,58,142,0,31426,0
882861841013133000,176,32,132,0,16472,0
882861840707047000,15,0,142,0,1281,0
882861839658471000,569,2,287,0,231,0
882861838039343000,416,18,173,0,41596,0
882861835145191000,1823,51,887,0,55315,0
