tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
8.82903916765094E+017,14618,156,2219,0,102,0
8.82903912847684E+017,4078,14,1526,0,9571,0
8.82903911819903E+017,10944,119,663,0,63735,0
8.82903911119671E+017,2,0,80,0,138,0
8.82903909500506E+017,45690,298,4810,0,194516,1
8.82903909077062E+017,7521,27,8248,0,40371,0
8.82903903884464E+017,27,0,37,0,1399,0
8.82903899262276E+017,345,110,1190,0,6399,0
8.82903898133979E+017,56,0,147,0,9534,0
8.829038957097E+017,321,18,503,0,35043,0
8.82903895638499E+017,707,35,4990,0,180,0
8.82903893008458E+017,270,10,247,0,2251,0
8.82903891314168E+017,207,10,450,0,28814,0
8.82903890777317E+017,2264,25,3549,0,15435,0
8.82903888084345E+017,300,15,675,0,4511,0
8.82903885769187E+017,1192,16,1497,0,2218,0
8.8290388572715E+017,35,0,281,0,1,0
8.82903884573823E+017,1410,25,5001,0,36353,0
8.82903882363482E+017,52597,208,633,0,21887,0
8.82903874507383E+017,1458,144,1056,0,100466,0
8.82903861341696E+017,1223,5,512,0,574,0
8.82903852319613E+017,24251,71,2796,0,5880,0
8.82903848523891E+017,1207,134,1685,0,3857,0
8.82903845126381E+017,248,36,431,0,1712,0
8.829038426351E+017,6,0,45,0,647,0
8.82903837849334E+017,615,62,831,0,251,0
8.82903825329394E+017,1202,40,840,0,5059,0
8.82903823919874E+017,91,6,70,0,2339,0
8.82903803858751E+017,3,0,98,0,1,0
8.82903803678384E+017,15,0,74,0,5,0
8.8290380196291E+017,310,4,1847,0,9725,0
8.82903783600263E+017,371,2,529,0,9000,0
8.82903781683352E+017,5623,146,1226,0,84331,0
8.82903781679145E+017,164,0,116,0,301,0
8.82903779875672E+017,63,0,207,0,3326,0
8.82903771403178E+017,354,1,307,0,11512,0
8.82903761840087E+017,370,49,136,0,50452,0
8.82903761181565E+017,305,58,94,0,23444,0
8.82903759793209E+017,269,0,123,0,313,0
8.82903758438637E+017,1667,370,1544,0,146,0
8.8290375805694E+017,642,83,911,0,16448,0
8.82903757759054E+017,2092,118,934,0,123,0
8.82903749982925E+017,371,44,544,0,795,0
8.82903746812031E+017,43693,123,251,0,112835,0
8.82903742458327E+017,193,14,517,0,19237,0
8.82903739396366E+017,61,0,13,0,5150,0
8.82903739006308E+017,71,0,62,0,21,0
8.82903735596339E+017,322,7,1180,0,9,0
8.82903735189385E+017,370,49,136,0,50452,0
8.82903732429697E+017,1620,19,160,0,199,0
8.82903727107056E+017,5623,146,1226,0,84331,0
8.82903726331019E+017,1829,26,198,0,11390,0
8.82903726163448E+017,1108,30,1382,0,95757,0
8.82903725790163E+017,142,1,387,0,723,0
8.82903706370544E+017,392,91,207,0,1143,0
8.82903705237864E+017,549,3,79,0,295,0
8.82903697742844E+017,8,0,51,0,3527,0
8.8290369197149E+017,2,0,65,0,0,0
8.82903689651921E+017,86,5,234,0,3652,0
8.82903685872968E+017,13,0,80,0,2,1
8.82903681980658E+017,4,0,222,0,21,0
8.82903681103831E+017,311,20,647,0,51066,0
8.829036669399E+017,291,136,980,0,1718,0
8.82903666679788E+017,883,41,908,0,1002,0
8.82903664603615E+017,4309,280,1585,0,183101,0
8.8290366327826E+017,181,7,214,0,26911,0
8.82903657876005E+017,5663,45,1333,0,2198,0
8.82903656915284E+017,287,10,467,0,4042,0
8.82903655581573E+017,2,0,10,0,5,0
8.82903655237566E+017,186,6,86,0,6203,1
8.82903654751244E+017,201,11,172,0,31,0
8.8290365257422E+017,133,4,1412,0,6666,0
8.82903649139048E+017,4129,45,3040,0,4131,0
8.82903646513504E+017,2760,184,613,0,34689,0
8.8290364075044E+017,1715,45,2413,0,1554,0
8.82903635880849E+017,116,12,78,0,3230,0
8.82903632093606E+017,339,40,636,0,866,0
8.82903625919382E+017,1,0,29,0,3,0
8.82903622186484E+017,520,24,530,0,1726,0
8.8290361417121E+017,2,0,10,0,5,0
8.82903614116643E+017,144,8,210,0,8631,0
8.82903613365944E+017,294,5,480,0,1991,0
8.82903600770449E+017,90,14,133,0,8497,0
8.82903595800076E+017,1458,144,1056,0,100466,0
8.82903590825849E+017,38,0,522,0,2794,0
8.82903583506678E+017,827,44,1037,0,136131,0
8.8290358283989E+017,38,0,180,0,9107,0
8.82903580667249E+017,1,0,71,0,1,0
8.82903575684317E+017,227,3,1011,0,1385,0
8.82903574413427E+017,237,12,52,0,20495,0
8.82903563990585E+017,1708,26,4993,0,31785,0
8.82903561994109E+017,100,3,363,0,24558,0
8.8290356110497E+017,29,0,36,0,207,1
8.82903559288758E+017,558,26,500,0,5439,0
8.82903549105123E+017,75,5,129,0,9261,0
8.82903547053986E+017,2760,184,613,0,34689,0
8.82903546366017E+017,6,0,32,0,38,0
8.82903524215935E+017,170,0,154,0,279,0
8.82903518033703E+017,1874,545,4046,0,344460,0
8.82903516380975E+017,175,6,861,0,754,0
8.82903515752018E+017,56,9,251,0,4772,0
8.82903513306739E+017,128,0,1333,0,557,0
8.82903510336946E+017,192,1,260,0,4508,0
8.82903506520298E+017,324,5,283,0,534,0
8.82903505534693E+017,174,15,535,0,641,0
8.82903504381244E+017,27602,202,21829,0,24936,0
8.82903500211929E+017,4129,45,3040,0,4131,0
8.82903497200587E+017,29,0,42,0,6,0
8.82903496961413E+017,5872,22,563,0,8015,0
8.82903496323985E+017,310,4,1847,0,9725,0
8.82903496059638E+017,48801,310,3401,0,101152,0
8.82903493878706E+017,5,0,53,0,38,0
8.8290349208345E+017,291,0,470,0,7104,0
8.82903490300756E+017,520,24,530,0,1726,0
8.82903485976543E+017,78,1,124,0,9361,0
8.82903485456437E+017,56,6,626,0,252,0
8.82903475180515E+017,291,0,470,0,7104,1
8.82903471468556E+017,696,10,252,0,34532,0
8.82903469925048E+017,748,21,171,0,28466,0
8.82903469253948E+017,102,1,178,0,2039,0
8.82903463578943E+017,16,0,127,0,75,0
8.82903462928949E+017,210,21,393,0,8205,0
8.82903461804769E+017,2175,5,1435,0,8930,0
8.82903450945827E+017,9951,5,8280,0,2721,0
8.82903450312466E+017,291,136,980,0,1718,0
8.82903450085761E+017,76,13,60,0,3303,0
882906299775758337,66,0,1110,0,955,0
882906298483851264,302,33,180,0,22916,0
882906298161004544,274,0,535,0,2809,0
882906293299818497,1631,54,35,0,8880,0
882906290170847233,583,6,556,0,54303,0
882906285959593984,1227,13,478,0,11158,0
882906285796057088,693,17,143,0,1,0
882906284797841408,67,4,200,0,117,0
882906281303875584,7985,117,733,0,51600,0
882906281014579200,248,10,1367,0,7638,0
882906276992348160,6019891,2406,476,1,16550,1
882906273913556992,487,0,135,0,1162,0
882906273859162112,265,12,151,0,7700,0
882906273200480256,95,2,33,0,57,0
882906271224971264,7,0,126,0,132,0
882906271002877952,8981,324,1775,1,1026,0
882906267576131584,2843,118,2424,0,61921,0
882906265361424385,860,36,247,0,28309,0
882906259808178176,1511,48,1403,0,181,0
882906258864578561,487,0,135,0,1162,0
882906258373783552,22,0,130,0,173,0
882906255731302401,432,69,1284,0,951,0
882906254410227712,269,2,291,0,19,0
882906247640604673,1063,74,670,0,1162,0
882906246503952387,25,0,215,0,912,0
882906236974399490,36096,243,90,0,6,0
882906236064235520,736,47,538,0,100341,0
882906235204501505,2479,52,316,0,4305,0
882906234633965568,7888,204,284,0,166,0
882906234331869185,2254,123,1470,0,20840,0
882906233736495104,787,159,286,0,13801,0
882906231895199744,22,0,130,0,173,0
